gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,21,San Diego State,83.49,Midwest,8,68
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2294,Iowa,88.96,Midwest,5,72
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2571,South Dakota State,79.67,Midwest,13,78
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,99,Louisiana State,85.72,Midwest,6,80
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2142,Colgate,76.4,Midwest,14,86
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,30,Southern California,83.02,Midwest,7,88
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,55,Jacksonville State,73.15,Midwest,15,94
mens,2022-04-02,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2750,Wright State,74.25,South,16a,98
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2550,Seton Hall,82.61,South,8,100
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,5,Alabama-Birmingham,81.17,South,12,106
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,236,Chattanooga,78.7,South,13,110
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,36,Colorado State,81.65,South,6,112
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2344,Longwood,73.42,South,14,118
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2350,Loyola (IL),83.7,South,10,122
mens,2022-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,48,Delaware,73.57,South,15,126
mens,2022-04-02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,164,Rutgers,81.13,West,11a,18
mens,2022-04-02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2751,Wyoming,78.49,East,12a,42
mens,2022-04-02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,357,Texas A&M-Corpus Christi,67.3,Midwest,16b,67
mens,2022-04-02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,2803,Bryant,71.55,South,16b,99
