gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2021-03-14,0,1.0,0.58015224094,0.179137061882,0.076687790655,0.021836995007,0.007202311827,0.002185048764,1,1,57,Florida,83.03,South,7,120
mens,2021-03-14,0,1.0,0.387967868861,0.170105658128,0.060233763601,0.018403580681,0.00626176012,0.001951003909,1,1,183,Syracuse,83.02,Midwest,11,82
mens,2021-03-14,1,0.543518947963,0.258324752185,0.120224801861,0.047398837486,0.019836730858,0.005306064268,0.001878651776,0,1,127,Michigan State,82.87,East,11a,50
mens,2021-03-14,0,1.0,0.400891057811,0.117998555159,0.050950695896,0.020352643098,0.004983158494,0.001638048823,1,1,179,St. Bonaventure,82.69,East,9,38
mens,2021-03-14,0,1.0,0.568446703399,0.065727332698,0.027447938872,0.010477818831,0.004524135143,0.001557293855,1,1,201,Oklahoma,83.44,West,8,4
mens,2021-03-14,0,1.0,0.329175629166,0.142434195485,0.052326548732,0.014541122362,0.004694660953,0.001395963156,1,1,328,Utah State,82.39,South,11,114
mens,2021-03-14,0,1.0,0.423811405052,0.115343686276,0.048462273736,0.014027061675,0.004546324363,0.001353205945,1,1,228,Clemson,82.39,Midwest,7,88
mens,2021-03-14,1,0.456481052037,0.201269434866,0.08784289367,0.032343537662,0.012758303216,0.003200565984,0.001073842044,0,1,26,UCLA,81.87,East,11b,51
mens,2021-03-14,0,1.0,0.383620611647,0.087681852991,0.034897938064,0.006851787436,0.002710402902,0.00085400131,1,1,2670,Virginia Commonwealth,81.93,West,10,26
mens,2021-03-14,0,1.0,0.304865752191,0.114943201659,0.035426797696,0.012662251308,0.002750911246,0.000816887872,1,1,46,Georgetown,81.34,East,12,42
mens,2021-03-14,0,1.0,0.41984775906,0.109400321741,0.04072824496,0.009989901517,0.002889541423,0.000774920548,1,1,259,Virginia Tech,81.19,South,10,122
mens,2021-03-14,0,1.0,0.431553296601,0.041564210337,0.015328966068,0.005199868544,0.00202983421,0.000631120771,1,1,142,Missouri,81.87,West,9,6
mens,2021-03-14,0,1.0,0.254534468167,0.099128574291,0.016168025189,0.004804595876,0.00122567965,0.000291351119,1,1,204,Oregon State,79.69,Midwest,12,74
mens,2021-03-14,1,0.600798493633,0.177742997203,0.059570011953,0.015449887334,0.002721197442,0.000991000712,0.00028752645,0,1,2724,Wichita State,79.89,West,11b,19
mens,2021-03-14,0,1.0,0.238508301524,0.073259873109,0.02091858706,0.004497177733,0.001156845028,0.000277897194,1,1,2142,Colgate,79.64,South,14,118
mens,2021-03-14,0,1.0,0.248440554797,0.071066764072,0.009264599188,0.002585389439,0.000587508247,0.000125606064,1,1,2737,Winthrop,78.43,South,12,106
mens,2021-03-14,0,1.0,0.194752581925,0.067088332406,0.008663321257,0.002399441361,0.000541270502,0.000114925198,1,1,249,North Texas,78.38,South,13,110
mens,2021-03-14,0,1.0,0.169891902762,0.045224833687,0.009502551885,0.002429596502,0.000372851925,8.1749135e-05,1,1,2430,North Carolina-Greensboro,77.74,East,13,46
mens,2021-03-14,0,1.0,0.181288364412,0.043942325496,0.004407191913,0.001094703865,0.000325953591,7.7582008e-05,1,1,2540,UC-Santa Barbara,78.4,West,12,10
mens,2021-03-14,1,0.399201506367,0.092937175891,0.025705898863,0.005459442185,0.00078621537,0.000244238054,6.0592249e-05,0,1,2181,Drake,77.56,West,11a,18
mens,2021-03-14,0,1.0,0.153347019877,0.038608682942,0.007626169992,0.001737747435,0.000247150665,5.0636135e-05,1,1,2000,Abilene Christian,77.05,East,14,54
